TIPO_CLUSTER,CNAE,CNAE_ESPELHO,SCORE
ADA-002_FULL,154700,151201,0.29423646589283226
ADA-002_FULL,154700,151203,0.29590099090644234
ADA-002_FULL,154700,152103,0.2996371907473004
ADA-002_FULL,155501,155501,0.0
ADA-002_FULL,155501,155503,0.2562429328797434
ADA-002_FULL,155501,155504,0.26719962551890647
ADA-002_FULL,155501,155505,0.2982335499849465
ADA-002_FULL,155502,155502,0.0
ADA-002_FULL,155502,155505,0.28479372889107135
ADA-002_FULL,155503,155503,0.0
ADA-002_FULL,155503,155504,0.18719589167030107
ADA-002_FULL,155503,155501,0.2562429328797434
ADA-002_FULL,155504,155504,0.0
ADA-002_FULL,155504,155503,0.18719589167030107
ADA-002_FULL,155504,155501,0.26719962551890647
ADA-002_FULL,155504,155505,0.27884455550067155
ADA-002_FULL,155505,155505,0.0
ADA-002_FULL,155505,155504,0.27884455550067155
ADA-002_FULL,155505,155502,0.28479372889107135
ADA-002_FULL,155505,155501,0.2982335499849465
ADA-002_FULL,159801,159801,0.0
ADA-002_FULL,159801,159899,0.28181913080591475
ADA-002_FULL,159801,159802,0.29322152161557274
ADA-002_FULL,159802,159802,0.0
ADA-002_FULL,159802,159899,0.18842861143434828
ADA-002_FULL,159802,159803,0.2694701912014823
ADA-002_FULL,159802,159804,0.2728412222525217
ADA-002_FULL,159802,152102,0.2856136614885548
ADA-002_FULL,159802,159801,0.29322152161557274
ADA-002_FULL,159803,159803,0.0
ADA-002_FULL,159803,159899,0.26799724355271554
ADA-002_FULL,159803,159802,0.2694701912014823
ADA-002_FULL,159804,159804,0.0
ADA-002_FULL,159804,159899,0.2676821163762467
ADA-002_FULL,159804,159802,0.2728412222525217
ADA-002_FULL,159899,159899,0.0
ADA-002_FULL,159899,159802,0.18842861143434828
ADA-002_FULL,159899,159804,0.2676821163762467
ADA-002_FULL,159899,159803,0.26799724355271554
ADA-002_FULL,159899,159801,0.28181913080591475
ADA-002_FULL,159899,152102,0.298590752756098
ADA-002_FULL,161001,161001,0.0
ADA-002_FULL,161002,161002,0.0
ADA-002_FULL,161003,161003,0.0
ADA-002_FULL,161003,163600,0.28459369155759234
ADA-002_FULL,161003,161099,0.2942771974307293
ADA-002_FULL,161099,161099,0.0
ADA-002_FULL,161099,162899,0.15777841084334795
ADA-002_FULL,161099,163600,0.28167642295118406
ADA-002_FULL,161099,161003,0.2942771974307293
ADA-002_FULL,162801,162801,0.0
ADA-002_FULL,162801,162803,0.29039377708480324
ADA-002_FULL,162802,162802,0.0
ADA-002_FULL,162802,162803,0.29397473722299317
ADA-002_FULL,162803,162803,0.0
ADA-002_FULL,162803,162899,0.2716847501576163
ADA-002_FULL,162803,162801,0.29039377708480324
ADA-002_FULL,162803,162802,0.29397473722299317
ADA-002_FULL,162899,162899,0.0
ADA-002_FULL,162899,161099,0.15777841084334795
ADA-002_FULL,162899,162803,0.2716847501576163
ADA-002_FULL,162899,163600,0.2895329403459369
ADA-002_FULL,163600,163600,0.0
ADA-002_FULL,163600,161099,0.28167642295118406
ADA-002_FULL,163600,161003,0.28459369155759234
ADA-002_FULL,163600,162899,0.2895329403459369
ADA-002_FULL,170900,170900,0.0
ADA-002_FULL,210101,210101,0.0
ADA-002_FULL,210101,210105,0.2870740952665136
ADA-002_FULL,210102,210102,0.0
ADA-002_FULL,210102,210109,0.20116260444481157
ADA-002_FULL,210102,210105,0.28141625438324624
ADA-002_FULL,210103,210103,0.0
ADA-002_FULL,210103,210105,0.2791653717872805
ADA-002_FULL,210104,210104,0.0
ADA-002_FULL,210104,210105,0.2969591002859765
ADA-002_FULL,210105,210105,0.0
ADA-002_FULL,210105,210103,0.2791653717872805
ADA-002_FULL,210105,210102,0.28141625438324624
ADA-002_FULL,210105,210101,0.2870740952665136
ADA-002_FULL,210105,210104,0.2969591002859765
ADA-002_FULL,210106,210106,0.0
ADA-002_FULL,210107,210107,0.0
ADA-002_FULL,210107,220901,0.19468263039675626
ADA-002_FULL,210107,210108,0.2989813623041213
ADA-002_FULL,210108,210108,0.0
ADA-002_FULL,210108,220902,0.19855571990320353
ADA-002_FULL,210108,210107,0.2989813623041213
ADA-002_FULL,210109,210109,0.0
